,D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
Right-Thalamus-Proper,-0.536888848,1.240113179,0.619446932,1.803285978,-0.3167973555,-0.5163429992,-0.1238512908,0.5630134157,-0.7079186619,3.929471951,4.854622793,-0.7010377546,1.44668392,1.591278345,-0.8989330589,-0.1850840711,0.06423548252,-1.599584122,2.879279656
Right-Caudate,-0.6300170803,2.393967482,3.3788007,-1.860457714,0.003645835358,-0.4694335706,-0.6963696572,3.181612981,-0.4025003997,1.496657352,-0.1312147932,-0.6520858141,4.823271582,0.7779819347,-0.6778646928,-0.2822611245,2.144054347,-1.246026394,1.553960531
Right-Putamen,-0.6478035185,1.493797475,4.449353262,-0.1670657231,-0.684430999,-0.4899548064,-0.03770543282,5.520545139,-0.8132090516,4.021986189,0.4695965183,-0.7417800318,7.455013333,1.437492493,0.9300219976,0.455572075,5.058905825,-1.614724167,2.020827051
Right-Pallidum,-0.6858553694,1.333607944,2.858683341,-0.1108108893,-0.5945128899,-0.4901136965,-0.374093636,4.583368971,-0.4364040764,3.959038226,0.2747752273,-0.7287025613,2.446145523,0.8084875565,0.182089972,-0.2358941211,4.136325256,-1.620143256,0.2248521679
Right-Hippocampus,-0.7106594403,0.5797804903,0.6702928876,-0.5026902609,-0.4507085173,-0.2592726852,0.05320381364,0.9584777277,-0.3272180208,0.8646485977,-0.07563574853,-0.5024215152,0.7878511247,1.113201872,0.909758281,0.2989884495,-0.447299148,-0.7963832837,-0.3963326591
Right-Amygdala,-0.4891016864,-0.1553342642,1.183202853,-0.2553641503,-0.6265865623,-0.2692629307,0.02993753951,0.8381665137,-0.8259198929,2.550672783,-0.3855156242,-0.7518280793,1.365766649,0.475113231,1.167586059,0.1086548746,0.5224863208,-0.4480350325,2.28134454
Right-Accumbens-area,-0.5245034176,0.8270279701,3.511107854,0.1036084878,-0.6293984158,-0.4835608658,0.297027434,2.268418941,-0.9334495007,2.574794146,0.4188834918,-0.6423860482,4.103772161,0.8212552438,-0.5019584724,0.6804328087,3.892060217,-1.235424562,4.008067428
Right-VentralDC,-0.6155878698,-0.02790195603,0.7643890174,2.046266015,0.06293148414,-0.1566445567,-0.6838552959,-0.3021469443,-0.6821911503,1.13205386,2.226114728,-0.7374574898,0.7556308775,0.05344605222,-0.6997117525,-0.7618958532,0.7824002599,-1.357482579,0.01035248087
ctx_lh_G_and_S_frontomargin,1.756461401,-0.8027371304,-0.2541299271,0.4519033624,0.5420770582,-0.1558256718,0.9421231981,0.5018134781,-0.2450909364,0.07988738193,0.2486493141,1.611122727,-0.09526806823,0.23272326,0.7731380444,0.5887772774,0.3470294055,0.7343018084,1.067738544
ctx_lh_G_and_S_occipital_inf,-0.3972506737,-0.4882892949,-0.2857608431,0.3735895601,0.7054744509,1.372083076,0.7959378549,0.3309094875,0.2303848856,-0.001047284576,-0.2126943457,-0.5359385305,-0.3071306688,0.423789209,0.7064827119,0.7547801453,-0.2165747256,0.372370505,-0.7355182931
ctx_lh_G_and_S_paracentral,-0.1268815505,-0.2673225705,-0.3151484917,1.683479963,-0.5686814354,-0.04127160381,0.06028181119,-0.1080024313,-0.1072183138,0.04545688748,-0.1312999031,-0.3795720206,0.0320510479,0.2417256711,-0.1415547461,0.1818560074,0.3266885864,1.619065454,-0.3140755119
ctx_lh_G_and_S_subcentral,1.566321995,-0.7229322418,-0.1093814038,1.412652018,-0.2433262183,0.3053587283,0.7922123114,0.5444910295,-0.5736583671,0.1996313772,0.1227139539,1.103921343,0.1725311262,0.7035431047,-0.7220748759,0.1940441999,0.6159359227,-0.15503406,0.5392670302
ctx_lh_G_and_S_transv_frontopol,1.834534055,-0.9128218479,-0.2316885425,0.02116755461,0.04040530609,0.009099316058,1.274874427,0.7115137241,-0.6004784981,0.2265371859,0.1780465813,1.611122727,-0.1534325775,-0.1699986551,0.7734261155,0.5981728268,0.4220413844,0.8121780537,0.9604162501
ctx_lh_G_and_S_cingul-Ant,-0.5607401001,0.8358108058,0.2414938365,0.2907866884,-0.4811281655,-0.4312279316,0.2839836351,0.1280474243,-0.2153550164,0.07272873115,0.005180384841,0.5042814083,0.05990165446,0.5700216206,-0.6885176085,0.1261247937,1.559985322,-0.4939286924,1.38602724
ctx_lh_G_and_S_cingul-Mid-Ant,-0.4847691216,1.958971762,-0.1145803404,0.6562988436,-0.3150071473,-0.415929259,0.6215883135,0.3291661323,-0.8777538632,0.3010457251,0.2891506962,-0.599281707,0.3275266424,0.3876789072,-0.9622099453,0.4094565003,1.256653564,-1.333240202,1.161672969
ctx_lh_G_and_S_cingul-Mid-Post,-0.3881746458,1.385687115,-0.6231323106,0.8692422987,-0.2973185877,-0.5426931947,0.5725418243,0.3144742141,-0.445360309,0.4016509402,0.1384350872,-0.6210364773,0.4010499875,0.2944467293,-0.5968493993,0.1907573945,0.4225668926,0.7583838381,0.7678707522
ctx_lh_G_cingul-Post-dorsal,-0.298588675,0.6520133957,-0.506716782,0.2292897533,0.1862867764,-0.4521578447,0.8983920801,0.4712847281,-0.6151072041,0.1995949721,0.03054020302,-0.6263179318,0.1977415238,0.9943911422,-0.8249559866,0.1561200723,0.1251039049,1.482339996,0.4579608288
